id,industry
00228,ikebana-kurse
00229,terrarienbau-workshops
00230,fermentationskurse
00231,sauerteigbrot-backkurse
00232,pralinen-schokoladen-kurse
00233,kaeseherstellungs-workshops
00234,wurstherstellungskurse
00235,molekularkueche-einfuehrungskurse
00236,speiseeis-herstellungskurse
00237,sportkletterkurse
00238,sicherheitstrainings-klettersteige
00239,eiskletterkurse
00240,skilanglaufschulen
00241,biathlon
00242,rollski-kurse
00243,fechtclub-software
00244,schiesssportvereine
00245,beachvolleyball
00246,skateboarding
00247,tanzschulen
00248,tanzkurse
00249,longboard-tanzkurse
00250,hula-hoop-fitnesskurse
00251,pole-dance-training
00252,pole-dance-schule
00253,pole-dance-software
00254,pole-dance-studios
00255,aerial-yoga-kurse
00256,akupressur
00257,akupressur-workshops
00258,ayurveda-kochkurse
00259,tcm-kurse
00260,klangschalen-therapie-sound-baths
00261,waldbaden-shinrin-yoku
00262,landwirtschaftliche-erlebnishoefe
00263,hoehlenerkundungs-fuehrungen-spelaeologie
00264,ghost-tours
00266,geocaching-touren
00267,bat-watching-touren
00268,oldtimer-ausfahrten
00269,yacht-ausflug
00271,e-foil-hydrofoil-surfkurse
00272,schneeschuhwanderungen
00274,tiertrainer-film-fernsehen
00275,muellsammel-events
00276,sensenkurse
00277,obstbaum-schnittkurse
00278,permakultur-design-kurse
00279,hochbeet-bau-workshops
00280,weidenflechtkurse
00281,mpu-vorbereitungskurse
00282,gabelstapler-fuehrerschein
00283,brandschutzhelfer-ausbildung
00284,datenschutz
00285,datenschutzschulungen
00286,sachkundenachweis-kurse
00287,waffensachkundepruefungs-vorbereitung
00288,kranfuehrerschein
00289,personal-shopping-termine
00290,trauredner-trauerredner
00291,hochzeits-tanzkurse
00292,junggesellenabschied-planungsevents
00293,private-grundstuecksvermietung
00294,zeltlager-vermietung
00295,schrebergarten-vermietung
00296,kino
00297,kinoabend
00298,partyzelt-verleih
00299,huepfburg-verleih
00300,toilettenkabine-mieten
00301,dixi-toi-vermietung
00302,fotobox-vermietung
00303,sup-yoga-kurse
00304,outdoor-kochkurse
00305,musikalische-frueherziehungskurse
00306,eltern-kind-turnen
00307,smartphone-tablet-kurse-senioren
00308,finanzcoaching
00309,finanzcoaching-maenner
00310,finanzcoaching-frauen
00311,expat-coaching
00312,fluechtlingsheim
00313,fluechtlingsunterkunft
00314,trennungs-scheidungs-coaching
00315,tier-heilpraktiker
00316,tier-heilpraktiker-sprechstunden
00317,katzen-verhaltensberatungen
00318,fahrrad-selbstreparatur-workshops
00319,trockenblumenkranz-workshops
00320,blutspende-terminbuchungen
00321,wein-herstellung
00322,bier-herstellung
00323,sehschulen-orthoptik-termine
00324,sportwagen-tagestouren
00325,whisky-tasting-events
00326,vodka-herstellung-workshops
00327,gin-destillier-workshops
00328,street-art-graffiti-workshops
00330,airbrush-technik-kurse
00331,aktzeichenkurse
00332,food-styling
00333,astrofotografie
00334,drohnenfotografie-kurse
00335,motorsaegen-fuehrerscheinkurse
00336,baumkletterkurse-skt
00337,fischraeucher-kurse
00338,jodel-workshops
00339,alphorn-blaskurse
00340,mental-coaching
00341,mental-coaching-sportler
00342,karriereberatung
00343,karriereberatung-akademiker
00344,digital-detox-wochenenden
00345,paar-massage
00346,paar-massage-kurse
00347,buero-yoga
00348,firmenfitness
00349,stressmanagement-arbeitsplatz
00350,gefahrgut-fahrerschulungen-adr
00351,teleskoplader-schulungen
00352,barfuss-coaching-wanderungen
00353,natur-resilienz-training
00354,tierkommunikation-seminare
00355,schamanische-reisen
00356,aromatherapie-mischkurse
00357,naturkosmetik-herstellungskurse
00358,lasersinter-dienstleistungen-on-demand
00359,cnc-fraesen-workshop
00360,tontechniker-schulungen
00361,lichtdesign-workshops
00362,sprecher-casting
00363,theater-abonnement-verwaltung
00364,opern-einfuehrungsvortraege
00365,museums-nacht-ticketverkauf
00366,kunstgalerie-vernissagen
00367,autorenlesungs-ticketverkauf
00368,poetry-slam
00369,open-mic-night
00370,stilberatung-fuer-frauen
00371,stilberatung-fuer-maenner
00372,zimmerpflanzen-pflege-workshops
00373,vertical-farming
00374,aquaponik-systembau
00375,feng-shui
00376,schulausflugs-organisation
00377,ferienlager
00378,abiball-komitee-organisationstools
00379,golfreisen
00380,tauchsafari-buchungssystem
00381,wanderreisen
00383,fallschirmspringen
00384,tandemflug
00386,tischler-schreiner
00387,schweissgeraet-workshop-schulungen
